Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Goal_Contribution_90,Expected_Goal_Contribution_90,G_per_xG,Ast_per_xAG,Progressive_Actions_90,Goal_Involvement_Per_Match,Shot_Conversion_Rate,Expected_Assist_Efficiency,Pass_to_Goal_Efficiency,Total_Contribution_Index
Adam Lallana,eng ENG,"MF,FW",Brighton,35,1988,25,13,850,9.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.7,2.5,9.0,39.0,55.0,0.11,0.27,0.0116470588235294,0.2647058823529412,0.1374999999999999,0.6799999999999999,5.082352941176471,0.0044,0.13749999999999998,0.04358974358974359,354.54545454545456,5.347058823529411
Christian Nørgaard,dk DEN,MF,Brentford,29,1994,31,30,2505,27.8,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,3.5,3.5,1.9,5.4,15.0,161.0,42.0,0.11,0.19,0.0039520958083832,0.1940119760479041,0.0314285714285714,0.3518518518518518,6.323353293413174,0.0035483870967741938,0.03142857142857143,0.011801242236024844,1463.6363636363637,6.517365269461077
Virgil van Dijk,nl NED,DF,Liverpool,32,1991,36,36,3177,35.3,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,2.8,2.8,1.6,4.4,32.0,200.0,7.0,0.11,0.12,0.0031161473087818,0.1246458923512748,0.0392857142857142,0.3636363636363636,6.572237960339943,0.0030555555555555557,0.03928571428571429,0.008,1818.1818181818182,6.696883852691218
Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,20,18,1617,18.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,10.0,62.0,5.0,0.11,0.05,0.0061224489795918,0.0445269016697588,0.1571428571428571,0.125,4.007421150278293,0.0055,0.15714285714285717,0.0016129032258064516,563.6363636363636,4.0519480519480515
Joël Veltman,nl NED,DF,Brighton,31,1992,27,17,1588,17.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.5,0.9,24.0,85.0,54.0,0.11,0.05,0.0062342569269521,0.0510075566750629,0.2749999999999999,0.5555555555555556,6.1775818639798485,0.004074074074074074,0.27499999999999997,0.0058823529411764705,772.7272727272727,6.228589420654912
Kurt Zouma,fr FRA,DF,West Ham,28,1994,33,32,2838,31.5,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.8,1.8,0.2,2.0,7.0,53.0,1.0,0.1,0.06,0.0031712473572938,0.0634249471458773,0.0555555555555555,0.1,1.9027484143763216,0.0030303030303030303,0.05555555555555556,0.0037735849056603774,530.0,1.9661733615221986
Levi Colwill,eng ENG,DF,Chelsea,20,2003,23,20,1797,20.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,1.2,2.5,23.0,73.0,27.0,0.1,0.12,0.005008347245409,0.1252086811352253,0.0769230769230769,0.48,4.808013355592655,0.004347826086956522,0.07692307692307693,0.01643835616438356,730.0,4.93322203672788
Marc Cucurella,es ESP,DF,Chelsea,25,1998,21,20,1782,19.8,0.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.1,1.1,1.1,2.2,31.0,50.0,73.0,0.1,0.11,0.005050505050505,0.1111111111111111,0.0909090909090909,0.5,4.090909090909091,0.004761904761904762,0.09090909090909091,0.022000000000000002,500.0,4.2020202020202015
Jayden Bogle,eng ENG,DF,Sheffield Utd,23,2000,34,32,2788,31.0,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,2.3,2.3,1.0,3.3,38.0,60.0,92.0,0.1,0.11,0.0032281205164992,0.1065279770444763,0.0434782608695652,0.303030303030303,3.163558106169297,0.0029411764705882353,0.04347826086956522,0.016666666666666666,600.0,3.2700860832137733
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25,1997,22,20,1780,19.8,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,1.5,1.6,30.0,77.0,54.0,0.1,0.08,0.0050561797752808,0.0808988764044943,1.0,0.9375,5.410112359550562,0.004545454545454546,1.0,0.01948051948051948,770.0,5.491011235955056
Lewis Cook,eng ENG,MF,Bournemouth,26,1997,33,32,2786,31.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,0.4,0.4,4.3,4.6,22.0,142.0,15.0,0.1,0.15,0.0032304379038047,0.1518305814788226,0.25,0.9148936170212764,5.29791816223977,0.0030303030303030303,0.25,0.030281690140845068,1420.0,5.449748743718593
Issa Kaboré,bf BFA,DF,Luton Town,22,2001,24,21,1729,19.2,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.2,0.2,2.1,2.3,60.0,54.0,85.0,0.1,0.12,0.0052053209947946,0.1197223828802776,0.5,0.9130434782608696,5.934065934065934,0.004166666666666667,0.5,0.03888888888888889,540.0,6.053788316946212
Kenny Tete,nl NED,DF,Fulham,27,1995,14,10,867,9.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.4,1.2,20.0,54.0,38.0,0.1,0.13,0.0103806228373702,0.1349480968858131,0.1111111111111111,0.3076923076923077,7.681660899653979,0.0071428571428571435,0.11111111111111112,0.007407407407407408,540.0,7.8166089965397925
Gabriel Osho,ng NGA,DF,Luton Town,24,1998,21,21,1846,20.5,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.1,1.1,0.1,1.2,10.0,37.0,4.0,0.1,0.06,0.0048754062838569,0.0585048754062838,0.0909090909090909,0.0833333333333333,2.2914409534127844,0.004761904761904762,0.09090909090909091,0.002702702702702703,370.0,2.3499458288190684
João Gomes,br BRA,MF,Wolves,22,2001,34,32,2649,29.4,2.0,1.0,3.0,2.0,0.0,0.0,11.0,0.0,1.7,1.7,1.1,2.8,28.0,101.0,44.0,0.1,0.1,0.0033975084937712,0.0951302378255945,0.0588235294117647,0.3928571428571429,4.382785956964892,0.0029411764705882353,0.05882352941176471,0.010891089108910892,1010.0,4.477916194790487
Emerson Palmieri,it ITA,DF,West Ham,28,1994,36,35,3137,34.9,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,1.5,1.5,2.4,3.9,59.0,125.0,124.0,0.09,0.11,0.0025820847943895,0.1118903410902135,0.06,0.6153846153846154,5.278928912974179,0.0025,0.06,0.0192,1388.888888888889,5.390819254064393
Ryan Yates,eng ENG,MF,Nott'ham Forest,25,1997,35,21,1992,22.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,2.6,2.6,0.8,3.5,18.0,73.0,37.0,0.09,0.16,0.0040662650602409,0.1536144578313253,0.0346153846153846,0.2352941176470588,4.11144578313253,0.0025714285714285713,0.03461538461538461,0.010958904109589041,811.1111111111111,4.265060240963855
